idx,run,type,label1,sublabel1,label2,image,file,x,y,frequency-across-4runs,aspectratio
88,2,double,number,numbersingle,place,S47-E4713_01120.png,S47-E4713_01120.png,330,160,1,3
89,2,double,number,number,place,S44-E4409_02157.png,S44-E4409_02157.png,326,76,1,3
90,2,double,number,number,word,S31-E3885_01578.png,S31-E3885_01578.png,273,142,1,2
91,2,double,number,numbersingle,word,S39-E4166_02731.png,S39-E4166_02731.png,332,104,1,3
92,2,double,place,place,face,S38-E4136_01833.png,S38-E4136_01833.png,353,186,1,2
93,2,double,place,place,face,S39-E4179_01405.png,S39-E4179_01405.png,278,171,1,3
94,2,single,place,place,none,S40-E4212_03005.png,S40-E4212_03005.png,301,212,1,3
95,2,single,place,place,none,S42-E4266_01175.png,S42-E4266_01175.png,300,189,1,3
96,2,single,place,place,none,S43-E4301_01579.png,S43-E4301_01579.png,320,299,1,3
97,2,single,place,place,none,S43-E4301_01798.png,S43-E4301_01798.png,188,196,1,3
98,2,none,none,none,none,s005.png,s005.png,380,500,4,1
99,2,none,none,none,none,s006.png,s006.png,380,844,4,1
100,2,single,place,place,none,S34-E4033_02868.png,S34-E4033_02868.png,222,231,4,2
101,2,single,place,place,none,S40-E4208_03086.png,S40-E4208_03086.png,320,200,4,3
102,2,single,place,place,none,S40-E4209_01810.png,S40-E4209_01810.png,385,212,4,3
103,2,double,place,place,number,S47-E4719_00403.png,S47-E4719_00403.png,308,133,1,3
104,2,double,place,place,number,S44-E4401_02020.png,S44-E4401_02020.png,346,121,1,3
105,2,double,place,place,word,S43-E4310_00953.png,S43-E4310_00953.png,501,289,1,3
106,2,double,place,place,word,S35-E4060_00083.png,S35-E4060_00083.png,150,124,1,2
107,2,double,word,word,face,S44-E4401_01335.png,S44-E4401_01335.png,253,85,1,3
108,2,double,word,wordletter,face,S35-E4074_00760.png,S35-E4074_00760.png,259,176,1,2
109,2,single,word,wordletter,none,S45-E4523_01497.png,S45-E4523_01497.png,328,167,1,3
110,2,single,word,wordletter,none,S35-E4074_00747.png,S35-E4074_00747.png,242,216,1,2
111,2,single,word,wordletter,none,S35-E4074_00750.png,S35-E4074_00750.png,247,184,1,2
112,2,single,word,wordletter,none,S35-E4074_00753.png,S35-E4074_00753.png,247,174,1,2
113,2,none,none,none,none,s007.png,s007.png,610,150,4,1
114,2,none,none,none,none,s008.png,s008.png,610,500,4,1
115,2,single,word,wordletter,none,S43-E4316_01000.png,S43-E4316_01000.png,310,177,4,3
116,2,single,word,wordletter,none,S34-E4046_02024.png,S34-E4046_02024.png,225,209,4,2
117,2,single,word,wordletter,none,S35-E4060_01066.png,S35-E4060_01066.png,239,180,4,2
118,2,double,word,wordletter,number,S12-E1520_00663.png,S12-E1520_00663.png,140,178,1,2
119,2,double,word,word,number,S47-E4722_00678.png,S47-E4722_00678.png,315,183,1,3
120,2,double,word,wordletter,place,S45-E4518_01094.png,S45-E4518_01094.png,497,112,1,3
121,2,double,word,word,place,S45-E4517_01213.png,S45-E4517_01213.png,332,270,1,3
122,2,none,none,none,none,s009.png,s009.png,610,844,4,1
123,3,single,face,face,none,S48-E4833_01049.png,S48-E4833_01049.png,241,138,1,3
124,3,single,face,face,none,S48-E4833_01083.png,S48-E4833_01083.png,240,180,1,3
125,3,single,face,face,none,S48-E4833_01094.png,S48-E4833_01094.png,380,194,1,3
126,3,single,face,face,none,S48-E4833_01490.png,S48-E4833_01490.png,310,75,1,3
127,3,none,none,none,none,s001.png,s001.png,150,150,4,1
128,3,none,none,none,none,s002.png,s002.png,150,500,4,1
129,3,single,face,face,none,S36-E4086_01262.png,S36-E4086_01262.png,223,166,4,2
130,3,single,face,face,none,S44-E4401_00818.png,S44-E4401_00818.png,369,94,4,3
131,3,single,face,face,none,S48-E4831_00758.png,S48-E4831_00758.png,210,50,4,3
132,3,double,face,face,number,S44-E4414_02115.png,S44-E4414_02115.png,419,138,1,3
133,3,double,face,face,number,S45-E4504_00559.png,S45-E4504_00559.png,390,151,1,3
134,3,double,face,face,place,S41-E4221_02962.png,S41-E4221_02962.png,379,184,1,3
135,3,double,face,face,place,S47-E4719_01307.png,S47-E4719_01307.png,390,190,1,3
136,3,double,face,face,word,S36-E4085_01757.png,S36-E4085_01757.png,220,151,1,2
137,3,double,face,face,word,S34-E4046_02149.png,S34-E4046_02149.png,194,162,1,2
138,3,double,number,numbersingle,face,S36-E4088_02139.png,S36-E4088_02139.png,240,214,1,2
139,3,double,number,number,face,S40-E4187_01667.png,S40-E4187_01667.png,286,191,1,3
140,3,single,number,numberNS,none,S46-E4611_01131.png,S46-E4611_01131.png,316,97,1,3
141,3,single,number,numberNS,none,S34-E4033_03270.png,S34-E4033_03270.png,232,168,1,2
142,3,single,number,number,none,S35-E4063_02095.png,S35-E4063_02095.png,231,117,1,2
143,3,single,number,number,none,S44-E4402_01974.png,S44-E4402_01974.png,323,188,1,3
144,3,none,none,none,none,s003.png,s003.png,150,844,4,1
145,3,none,none,none,none,s004.png,s004.png,380,150,4,1
146,3,single,number,number,none,S44-E4424_03375.png,S44-E4424_03375.png,304,173,4,3
147,3,single,number,number,none,S43-E4325_02069.png,S43-E4325_02069.png,316,170,4,3
148,3,single,number,numbersingle,none,S38-E4158_01946.png,S38-E4158_01946.png,242,138,4,2
149,3,double,number,numbersingle,place,S38-E4158_01934.png,S38-E4158_01934.png,181,152,1,2
