imagename,faces,places,words,letters,numbers
972,0,0,1,0,1
973,1,0,0,1,0
974,1,0,0,1,0
975,1,0,0,1,0
976,0,0,0,0,1
977,0,0,0,1,0
978,0,0,0,1,0
979,0,1,0,0,0
980,0,1,0,0,0
981,1,1,1,0,0
982,1,1,1,0,0
983,1,1,0,0,0
984,1,1,0,0,1
985,0,0,0,0,1
986,0,0,0,0,1
987,0,1,0,0,0
988,1,1,1,0,0
989,0,0,1,0,0
990,0,0,0,1,0
991,0,0,0,1,0
992,0,0,0,1,0
993,1,1,1,0,0
994,1,1,0,0,0
995,0,0,0,0,1
996,0,0,0,0,1
997,0,0,0,0,1
998,0,0,0,0,1
999,0,0,0,1,0
1000,0,0,0,1,0
1001,1,1,0,1,0
1002,1,1,0,1,0
1003,1,1,0,1,0
1004,1,1,0,1,0
1005,1,1,0,0,0
1006,1,1,0,0,0
1007,0,1,1,0,0
1008,1,1,0,0,0
1009,1,1,1,0,0
1010,1,1,1,1,0
1011,1,1,0,0,0
1012,1,1,0,0,0
1013,1,0,0,0,1
1014,0,1,0,0,0
1015,0,0,0,0,1
1016,0,0,0,0,1
1017,0,0,0,0,1
1018,0,0,0,0,1
1019,0,0,0,0,1
1020,0,0,1,0,1
1021,1,0,1,1,0
1022,0,0,0,1,0
1023,0,0,1,1,0
1024,0,0,0,1,0
1025,0,1,0,0,0
1026,0,0,1,0,1
1027,0,0,0,0,1
1028,1,0,0,0,1
1029,1,0,0,0,1
1030,1,0,0,0,1
1031,1,0,0,0,1
1032,1,0,0,0,1
1033,1,0,0,0,1
1034,1,0,0,0,1
1035,1,0,0,0,1
1036,0,0,0,0,1
1037,1,0,0,0,1
1038,1,1,0,0,1
1039,1,0,0,0,1
1040,0,0,0,0,1
1041,1,1,0,0,1
1042,1,1,0,0,0
1043,1,1,0,0,0
1044,1,1,0,0,0
1045,1,1,0,0,0
1046,1,1,0,0,0
1047,0,0,1,0,1
1048,1,0,0,1,0
1049,1,0,0,1,0
1050,1,0,0,1,0
1051,1,0,0,1,0
1052,1,0,0,1,0
1053,1,0,0,1,0
1054,1,1,0,0,0
1055,1,1,0,0,0
1056,0,1,0,0,0
1057,0,1,0,0,0
1058,1,1,1,0,0
1059,1,1,1,1,0
1060,1,1,1,0,0
1061,0,1,0,1,0
1062,0,1,0,1,0
1063,0,1,0,0,0
1064,0,1,0,0,0
1065,1,1,1,0,0
1066,1,1,1,0,0
1067,1,1,1,0,0
1068,1,0,0,0,0
1069,1,1,1,0,1
1070,1,1,1,0,0
1071,1,1,0,0,0
1072,1,1,0,0,0
